timestamp,open,high,low,close,volume
2024-05-15,2880.41,3040.83,2861.8,3032.01,309423.79182276
2024-05-16,3032.01,3040.8,2921.35,2943.67,248160.11217601
2024-05-17,2943.67,3121.21,2931.81,3092.6,301096.69012042
2024-05-18,3092.6,3147.6,3084.0,3122.99,156322.94198907
2024-05-19,3122.99,3136.52,3051.75,3069.57,148469.83940915
2024-05-20,3069.68,3696.83,3046.3,3662.83,731401.4942025
2024-05-21,3662.83,3843.07,3626.14,3791.6,682300.85217036
2024-05-22,3791.6,3814.2,3655.1,3739.39,507458.27371384
2024-05-23,3739.4,3949.56,3522.55,3784.13,1173319.77070839
2024-05-24,3783.88,3830.32,3628.0,3728.79,395201.86102663
2024-05-25,3728.79,3780.0,3709.1,3750.2,130081.68722965
2024-05-26,3750.2,3886.26,3732.08,3825.2,240624.51092768
2024-05-27,3825.2,3978.63,3822.2,3892.9,339816.70403874
2024-05-28,3892.9,3931.6,3771.3,3843.01,377830.24002246
2024-05-29,3843.01,3888.0,3742.92,3765.01,376223.59301814
2024-05-30,3765.01,3826.97,3702.0,3749.13,383956.96751435
2024-05-31,3749.13,3852.8,3721.2,3760.99,375801.92581435
2024-06-01,3761.0,3833.19,3752.0,3815.08,122362.73594081
2024-06-02,3814.99,3838.12,3751.4,3781.75,189468.60452506
2024-06-03,3781.75,3854.97,3757.34,3767.58,318093.71649321
2024-06-04,3767.58,3834.99,3729.0,3812.63,276309.02733476
2024-06-05,3812.63,3889.97,3778.92,3868.77,338216.1303157
2024-06-06,3868.79,3882.47,3758.64,3814.4,263684.90913098
2024-06-07,3814.4,3843.61,3578.01,3679.21,517276.41260328
2024-06-08,3679.21,3709.92,3662.4,3681.52,133639.80039212
2024-06-09,3681.53,3723.0,3667.38,3706.6,103448.25480367
2024-06-10,3706.6,3715.09,3645.0,3667.4,182742.98491729
2024-06-11,3667.4,3672.35,3427.71,3497.42,543695.56554128
2024-06-12,3497.42,3657.58,3462.42,3560.21,483079.29670249
2024-06-13,3560.21,3560.69,3426.95,3468.41,388485.46433683
2024-06-14,3468.42,3530.0,3360.0,3480.59,434669.95917288
2024-06-15,3480.59,3591.49,3472.0,3566.4,225097.28550647
2024-06-16,3566.4,3651.95,3538.8,3621.6,179143.83312534
2024-06-17,3621.61,3636.08,3463.62,3509.6,484011.65985962
2024-06-18,3509.6,3515.58,3347.99,3481.41,567546.06310437
2024-06-19,3481.41,3586.0,3463.58,3557.4,396120.55204502
2024-06-20,3557.4,3623.43,3482.03,3508.63,363536.7535019
2024-06-21,3508.63,3544.8,3442.4,3515.12,406673.16270127
2024-06-22,3515.12,3517.95,3472.8,3493.05,106947.40456281
2024-06-23,3493.05,3518.0,3401.94,3417.41,158331.37905579
2024-06-24,3417.4,3432.58,3222.0,3350.08,686231.93261645
2024-06-25,3350.07,3427.96,3334.24,3392.43,295804.71193027
2024-06-26,3392.43,3424.54,3323.76,3369.33,207222.76650554
2024-06-27,3369.33,3474.99,3359.15,3446.82,229321.59724739
2024-06-28,3446.82,3485.52,3360.15,3374.99,282658.82527327
2024-06-29,3374.99,3403.24,3365.99,3373.4,84001.14648952
2024-06-30,3373.4,3454.83,3348.15,3431.82,151294.26040871
2024-07-01,3431.82,3519.41,3416.85,3436.81,242448.36381837
2024-07-02,3436.81,3458.97,3394.66,3414.44,127780.12776366
2024-07-03,3414.44,3425.85,3245.0,3290.4,280921.62714962
2024-07-04,3290.4,3308.33,3047.39,3056.94,509282.38304692
2024-07-05,3056.96,3105.64,2801.98,2980.4,818065.90701662
2024-07-06,2980.39,3081.34,2953.84,3065.59,178574.58341127
2024-07-07,3065.6,3072.2,2919.48,2929.14,204663.28417606
2024-07-08,2929.13,3094.92,2821.14,3017.2,594036.29174106
2024-07-09,3017.2,3114.08,3001.95,3064.93,269514.18029609
2024-07-10,3064.94,3149.39,3021.92,3099.16,259905.09348634
2024-07-11,3099.16,3216.1,3051.94,3097.6,301389.6103233
2024-07-12,3097.6,3157.28,3044.5,3133.2,197060.44653011
2024-07-13,3133.4,3201.57,3112.52,3175.01,112889.34193207
2024-07-14,3175.0,3267.9,3162.4,3244.0,167339.90741272
2024-07-15,3244.0,3494.48,3231.25,3483.81,339324.24374863
2024-07-16,3483.8,3499.18,3344.29,3444.11,374977.23963216
2024-07-17,3444.12,3516.65,3377.0,3386.19,263103.50150602
2024-07-18,3386.19,3488.72,3366.0,3425.77,209573.55457775
2024-07-19,3425.76,3540.0,3374.57,3504.0,271983.31897739
2024-07-20,3504.0,3539.2,3479.17,3517.17,125119.4934744
2024-07-21,3517.17,3547.72,3411.0,3535.27,205873.83437613
2024-07-22,3535.4,3563.94,3420.58,3438.6,196231.46188532
2024-07-23,3438.61,3539.98,3389.0,3481.65,439060.86890502
2024-07-24,3481.65,3487.71,3290.0,3334.39,223995.15717405
2024-07-25,3334.29,3341.2,3083.59,3173.26,496730.40833417
2024-07-26,3173.26,3285.0,3168.8,3273.51,252759.46041546
2024-07-27,3273.51,3327.43,3190.11,3248.4,242687.73078956
2024-07-28,3248.35,3283.39,3194.61,3268.91,121428.3092964
2024-07-29,3268.91,3396.83,3255.25,3316.2,329616.66046613
2024-07-30,3316.21,3365.6,3231.01,3277.6,208362.07852142
2024-07-31,3277.6,3348.5,3211.68,3231.03,237646.60425444
2024-08-01,3231.04,3241.24,3076.03,3200.83,338983.10255368
2024-08-02,3200.83,3216.44,2962.79,2985.41,416310.16467656
2024-08-03,2985.41,3016.35,2855.0,2901.03,335962.51653179
2024-08-04,2901.03,2932.37,2608.4,2686.96,512755.25459403
2024-08-05,2686.96,2695.28,2008.4,2418.94,2241018.38152421
2024-08-06,2419.1,2554.95,2413.88,2460.78,576740.3839812
2024-08-07,2460.76,2551.74,2307.1,2342.0,546523.94700024
2024-08-08,2341.76,2724.58,2319.84,2682.01,585669.54498275
2024-08-09,2682.01,2706.89,2552.22,2598.75,332929.64862901
2024-08-10,2598.75,2644.6,2575.81,2609.2,124024.70903912
2024-08-11,2609.2,2719.41,2537.56,2554.86,261664.92346192
2024-08-12,2555.0,2749.6,2507.87,2721.39,449954.89773077
2024-08-13,2721.4,2737.63,2609.19,2701.88,346153.48938594
2024-08-14,2701.88,2784.79,2631.49,2660.8,315369.34042128
2024-08-15,2660.79,2675.0,2514.58,2569.06,397829.69653278
2024-08-16,2569.06,2632.25,2549.11,2591.76,260065.63542732
2024-08-17,2591.89,2626.92,2586.42,2613.8,73927.66188484
2024-08-18,2613.81,2687.96,2593.17,2611.07,152594.50821318
